MO,TE,HU,WS,RR,Y
10,32.1,62,5,0,0
10,32.3,60,8,0,0
10,31.4,56,40,6,1
10,29.8,71,9,0,0
10,29.5,61,8,0,0
10,29.4,56,7,0,0
10,29.7,62,5,0,0
10,29.7,70,5,0,0
10,29.2,78,5,0,0
10,29.5,68,4,0,0
10,30.2,67,6,0,0
10,31.4,50,5,0,0
10,30.5,43,5,0,0
10,29.8,52,4,0,0
10,30.3,53,3,0,0
10,30.6,64,4,0,0
10,30.9,67,4,0,0
10,30.9,66,4,0,0
10,29.5,65,4,0,0
10,29.5,62,5,0,0
10,29.5,62,4,0,0
10,29.7,61,4,0,0
10,30.7,60,4,0,0
10,29.8,65,5,0,0
10,30.1,67,4,0,0
10,29.9,68,4,0,0
10,29.7,64,5,0,0
10,29.3,67,4,0,0
11,29.3,70,7,0,0
11,29.3,63,6,43,1
11,29.1,45,9,0,0
11,28.7,50,8,0,0
11,28.4,61,6,0,0
11,29.4,62,4,35.9,1
11,29.2,61,3,0,0
11,29.4,62,4,0,0
11,29.7,61,4,0,0
11,28.5,76,5,0,0
11,28.2,77,5,0,0
11,27.9,74,4,0,0
11,28.1,75,5,0,0
11,28,69,5,0,0
11,27.2,76,4,12.8,1
11,27.1,75,3,34,1
11,27.3,71,5,79,1
11,26.6,59,8,0,0
11,25.6,62,6,0,0
11,26.5,64,5,0,0
11,27.2,65,5,0,0
11,27.8,64,5,19.8,1
11,27.8,70,4,0,0
11,28.4,72,7,0,0
11,25.5,84,7,70,1
11,25.7,75,5,0,0
11,24.3,76,7,0,0
11,24.2,65,5,0,0
11,25.6,56,9,0,0
11,26.6,49,5,0,0
12,26.4,67,3,21.4,1
12,26,80,5,14,1
12,26.6,73,4,0,0
12,26.7,75,6,0,0
12,26.7,72,5,0,0
12,25.9,70,6,0,0
12,24.7,69,7,0,0
12,23.4,54,9,0,0
12,25.3,50,7,0,0
12,25.2,66,6,0,0
12,24,67,8,0,0
12,23.6,51,9,0,0
12,23.5,59,8,0,0
12,23,63,5,0,0
12,23.6,72,4,0,0
12,24.6,72,5,0,0
12,25.6,76,4,0,0
12,24.3,68,7,0,0
12,24.7,46,8,0,0
12,26.6,59,4,0,0
12,27.5,64,2,0,0
12,26.4,76,4,6.3,1
12,22.9,76,3,0,0
12,22.7,65,4,0,0
12,25,53,6,33,1
12,25.6,63,3,0,0
12,25.6,69,4,0,0
12,25.9,61,1,0,0
12,25.3,69,2,0,0
12,24.5,72,3,42.5,1
12,23.9,63,5,33,1
1,24.2,54,6,0,0
1,25.9,42,5,0,0
1,24.6,55,4,0,0
1,25.4,62,4,0,0
1,25.2,70,4,0,0
1,27,47,6,0,0
1,27.1,26,8,0,0
1,27.7,83,7,0,0
1,26.5,36,7,67,1
1,24.1,41,2,0,0
1,23,53,2,0,0
1,23.6,71,4,0,0
1,25.8,70,8,0,0
1,25.9,75,3,0,0
1,25.7,69,3,0,0
1,25.9,67,4,0,0
1,26.6,71,7,56,1
1,28,63,11,0,0
1,24.9,60,6,0,0
1,23.6,68,8,0,0
1,22.6,60,9,0,0
1,22.1,70,5,0,0
1,22.7,66,5,0,0
1,23.2,55,5,0,0
1,22.8,52,6,0,0
1,22.7,52,5,0,0
1,24.4,55,4,0,0
1,24.7,70,4,38,1
1,25,74,4,0,0
1,25.6,73,4,0,0
1,27.5,76,5,0,0
2,27.7,65,5,0,0
2,26,72,3,0,0
2,25.1,73,4,0,0
2,22.3,62,7,0,0
2,20.2,61,7,0,0
2,19.8,60,6,0,0
2,20.7,50,7,0,0
2,22,57,2,0,0
2,22.8,63,4,0,0
2,22.8,58,4,0,0
2,24.8,59,3,0,0
2,26.4,67,4,0,0
2,26.7,71,3,10,0
2,26.6,67,2,15,1
2,26.2,75,4,0,0
2,26.4,76,5,0,0
2,26.7,74,3,0,0
2,26.9,72,3,0,0
2,26.7,68,3,0,0
2,25.5,76,5,0,0
2,25.1,81,1,0,0
2,26,76,3,0,0
2,26.5,75,3,0,0
2,25.5,73,4,0,0
2,25.6,71,4,0,0
2,24.8,59,8,0,0
2,22.5,45,5,0,0
2,22.4,50,6,0,0
